resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
build_cache,TypeScript incremental cache,v1,v1,exact_hit,TRANSITION,233.706122,252.3595694,,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-020,build_cache:synthetic:typescript:attach,build_cache:synthetic:typescript:attach
build_cache,TypeScript invalidation,v1,v1,incompatible_switch,TRANSITION,231.098513,240.539153,build_cache,True,7,7,0,0,env:7a9cda66bc6b151a7886,synthetic,BLD-021,build_cache:synthetic:typescript:invalidate,build_cache:synthetic:typescript:invalidate
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,16499.729852,16782.6312697,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Effect-TS__effect.5df4da10:root:typescript:3936ee7940b9
build_cache,rollup,cold,manifest-derived,artifact_cold,ENV_PREP,5060.622381,5241.9432853,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Shopify__draggable.8a1eed57:root:rollup:75fa7c4af02e
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,284.292814,285.7398096,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Shopify__draggable.8a1eed57:root:typescript:75fa7c4af02e
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,274.781285,278.29023870000003,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:brianc__node-postgres.ecff60dc:root:typescript:f43ed1faaa9b
build_cache,lerna,cold,manifest-derived,artifact_cold,ENV_PREP,3245.388653,3443.0758583999996,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:foambubble__foam.2cac8162:root:lerna:2510f8df8165
build_cache,gulp,cold,manifest-derived,artifact_cold,ENV_PREP,11257.797516,11493.5430137,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__jsoneditor.0319b213:root:gulp:be56cc981d38
build_cache,gulp,cold,manifest-derived,artifact_cold,ENV_PREP,22559.432936,22623.4189984,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__mathjs.04e6e2d7:root:gulp:4c7f724eabb4
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,8413.023244,8443.5237232,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__mathjs.04e6e2d7:root:typescript:4c7f724eabb4
